Latitude,Longitude
32.733333333333334,-37.166666666666664
32.733333333333334,-38.166666666666664
32.733333333333334,-39.166666666666664
36.233333333333334,-37.166666666666664
36.233333333333334,-38.166666666666664
36.233333333333334,-39.166666666666664
32.68333333333333,-96.66666666666667
32.68333333333333,-97.66666666666667
32.68333333333333,-98.66666666666667
32.68333333333333,-99.66666666666667
36.18333333333333,-96.66666666666667
36.18333333333333,-97.66666666666667
36.18333333333333,-98.66666666666667
36.18333333333333,-99.66666666666667
32.766666666666666,-17.833333333333332
32.766666666666666,-18.833333333333332
32.766666666666666,-19.833333333333332
36.266666666666666,-17.833333333333332
36.266666666666666,-18.833333333333332
36.266666666666666,-19.833333333333332
32.68333333333333,-77.0
32.68333333333333,-78.0
32.68333333333333,-79.0
32.68333333333333,-80.0
36.18333333333333,-77.0
36.18333333333333,-78.0
36.18333333333333,-79.0
36.18333333333333,-80.0
32.68333333333333,-37.35
32.68333333333333,-38.35
32.68333333333333,-39.35
36.18333333333333,-37.35
36.18333333333333,-38.35
36.18333333333333,-39.35
36.2,-37.36666666666667
36.2,-38.36666666666667
36.2,-39.36666666666667
32.68333333333333,-76.53333333333333
32.68333333333333,-77.53333333333333
32.68333333333333,-78.53333333333333
32.68333333333333,-79.53333333333333
36.18333333333333,-76.53333333333333
36.18333333333333,-77.53333333333333
36.18333333333333,-78.53333333333333
36.18333333333333,-79.53333333333333
32.68333333333333,-96.53333333333333
32.68333333333333,-97.53333333333333
32.68333333333333,-98.53333333333333
32.68333333333333,-99.53333333333333
36.18333333333333,-96.53333333333333
36.18333333333333,-97.53333333333333
36.18333333333333,-98.53333333333333
36.18333333333333,-99.53333333333333
32.68333333333333,-37.86666666666667
32.68333333333333,-38.86666666666667
32.68333333333333,-39.86666666666667
36.18333333333333,-37.86666666666667
36.18333333333333,-38.86666666666667
36.18333333333333,-39.86666666666667
32.8,-37.38333333333333
32.8,-38.38333333333333
32.8,-39.38333333333333
36.3,-37.38333333333333
36.3,-38.38333333333333
36.3,-39.38333333333333
32.71666666666667,-76.55
32.71666666666667,-77.55
32.71666666666667,-78.55
32.71666666666667,-79.55
36.21666666666667,-76.55
36.21666666666667,-77.55
36.21666666666667,-78.55
36.21666666666667,-79.55
32.766666666666666,-76.88333333333334
32.766666666666666,-77.88333333333334
32.766666666666666,-78.88333333333334
