Latitude,Longitude,Name
12.183333333333334,-1.1833333333333333,1
12.183333333333334,-2.1666666666666665,2
12.183333333333334,-2.25,3
12.183333333333334,-4.3,4
12.183333333333334,-6.266666666666667,5
12.183333333333334,-8.233333333333333,6
12.183333333333334,-0.35,7
12.183333333333334,-1.3333333333333333,8
12.183333333333334,-1.4,9
12.183333333333334,-1.4166666666666667,10
12.183333333333334,-2.3333333333333335,11
12.183333333333334,-2.4833333333333334,12
12.183333333333334,-4.366666666666666,13
12.183333333333334,-4.383333333333334,14
12.183333333333334,-4.45,15
12.183333333333334,-6.416666666666667,16
12.183333333333334,-7.366666666666666,17
12.183333333333334,-8.383333333333333,18
12.183333333333334,-0.5,19
12.183333333333334,-0.5333333333333333,20
12.183333333333334,-0.5833333333333334,21
12.183333333333334,-2.5666666666666664,22
12.183333333333334,-2.6333333333333333,23
12.183333333333334,-3.533333333333333,24
12.183333333333334,-3.65,25
12.183333333333334,-4.55,26
12.183333333333334,-4.6,27
12.183333333333334,-6.533333333333333,28
12.183333333333334,-6.566666666666666,29
12.183333333333334,-6.633333333333333,30
12.183333333333334,-8.516666666666667,31
12.183333333333334,-8.533333333333333,32
12.183333333333334,-9.616666666666667,33
12.183333333333334,-0.75,34
12.183333333333334,-0.8166666666666667,35
12.183333333333334,-2.6833333333333336,36
12.183333333333334,-2.7,37
12.183333333333334,-2.783333333333333,38
12.183333333333334,-2.8,39
12.183333333333334,-4.75,40
12.183333333333334,-4.783333333333333,41
12.183333333333334,-5.7,42
12.183333333333334,-5.816666666666666,43
12.183333333333334,-6.716666666666667,44
12.183333333333334,-6.766666666666667,45
12.183333333333334,-8.683333333333334,46
12.183333333333334,-8.75,47
12.183333333333334,-0.9666666666666667,48
12.183333333333334,-1.8666666666666667,49
12.183333333333334,-1.9,50
12.183333333333334,-2.9333333333333336,51
12.183333333333334,-4.866666666666667,52
12.183333333333334,-4.9,53
12.183333333333334,-5.916666666666667,54
12.183333333333334,-5.966666666666667,55
12.183333333333334,-6.866666666666667,56
12.183333333333334,-7.833333333333333,57
12.183333333333334,-8.833333333333334,58
12.183333333333334,-8.983333333333333,59
12.183333333333334,-1.0333333333333334,60
12.183333333333334,-1.1166666666666667,61
12.183333333333334,-3.083333333333333,62
12.183333333333334,-4.033333333333333,63
12.183333333333334,-4.083333333333333,64
12.183333333333334,-5.05,65
12.183333333333334,-6.116666666666667,66
12.183333333333334,-6.133333333333333,67
12.183333333333334,-7.016666666666667,68
12.183333333333334,-7.05,69
12.183333333333334,-10.016666666666666,70
12.183333333333334,-10.133333333333333,71
12.183333333333334,-1.1666666666666667,72
12.183333333333334,-1.2666666666666666,73
12.183333333333334,-3.166666666666667,74
12.183333333333334,-3.2,75
12.183333333333334,-3.2333333333333334,76
12.183333333333334,-3.3,77
12.183333333333334,-5.2,78
12.183333333333334,-6.266666666666667,79
12.183333333333334,-7.166666666666667,80
12.183333333333334,-8.183333333333334,81
12.183333333333334,-9.233333333333334,82
12.183333333333334,-9.3,83
12.183333333333334,-1.35,84
12.183333333333334,-1.4166666666666667,85
12.183333333333334,-2.3666666666666667,86
12.183333333333334,-3.3833333333333333,87
12.183333333333334,-5.35,88
12.183333333333334,-5.366666666666667,89
12.183333333333334,-5.416666666666667,90
12.183333333333334,-5.483333333333333,91
12.183333333333334,-6.416666666666667,92
12.183333333333334,-8.45,93
12.183333333333334,-8.466666666666667,94
12.183333333333334,-1.5333333333333334,95
12.183333333333334,-1.5666666666666667,96
12.183333333333334,-1.65,97
12.183333333333334,-2.65,98
12.183333333333334,-3.533333333333333,99
12.183333333333334,-3.583333333333333,100
12.183333333333334,-5.5,101
12.183333333333334,-6.566666666666666,102
12.183333333333334,-7.533333333333333,103
12.183333333333334,-7.633333333333333,104
12.183333333333334,-9.566666666666666,105
12.183333333333334,-10.583333333333334,106
12.183333333333334,-10.633333333333333,107
22.85,-0.2833333333333333,108
22.85,-1.3,109
22.85,-2.1666666666666665,110
22.85,-2.25,111
22.85,-2.3166666666666664,112
22.85,-4.216666666666667,113
22.85,-5.283333333333333,114
22.85,-6.183333333333334,115
22.85,-8.316666666666666,116
22.85,-0.43333333333333335,117
22.85,-1.3333333333333333,118
22.85,-1.4333333333333333,119
22.85,-2.4,120
22.85,-2.4333333333333336,121
