32, 44, N, 37, 10, W
32, 44, N, 38, 10, W
32, 44, N, 39, 10, W
36, 14, N, 37, 10, W
36, 14, N, 38, 10, W
36, 14, N, 39, 10, W
32, 41, N, 96, 40, W
32, 41, N, 97, 40, W
32, 41, N, 98, 40, W
32, 41, N, 99, 40, W
36, 11, N, 96, 40, W
36, 11, N, 97, 40, W
36, 11, N, 98, 40, W
36, 11, N, 99, 40, W
32, 46, N, 17, 50, W
32, 46, N, 18, 50, W
32, 46, N, 19, 50, W
36, 16, N, 17, 50, W
36, 16, N, 18, 50, W
36, 16, N, 19, 50, W
32, 41, N, 76, 60, W
32, 41, N, 77, 60, W
32, 41, N, 78, 60, W
32, 41, N, 79, 60, W
36, 11, N, 76, 60, W
36, 11, N, 77, 60, W
36, 11, N, 78, 60, W
36, 11, N, 79, 60, W
32, 41, N, 37, 21, W
32, 41, N, 38, 21, W
32, 41, N, 39, 21, W
36, 11, N, 37, 21, W
36, 11, N, 38, 21, W
36, 11, N, 39, 21, W
36, 12, N, 37, 22, W
36, 12, N, 38, 22, W
36, 12, N, 39, 22, W
32, 41, N, 76, 32, W
32, 41, N, 77, 32, W
32, 41, N, 78, 32, W
32, 41, N, 79, 32, W
36, 11, N, 76, 32, W
36, 11, N, 77, 32, W
36, 11, N, 78, 32, W
36, 11, N, 79, 32, W
32, 41, N, 96, 32, W
32, 41, N, 97, 32, W
32, 41, N, 98, 32, W
32, 41, N, 99, 32, W
36, 11, N, 96, 32, W
36, 11, N, 97, 32, W
36, 11, N, 98, 32, W
36, 11, N, 99, 32, W
32, 41, N, 37, 52, W
32, 41, N, 38, 52, W
32, 41, N, 39, 52, W
36, 11, N, 37, 52, W
36, 11, N, 38, 52, W
36, 11, N, 39, 52, W
32, 48, N, 37, 23, W
32, 48, N, 38, 23, W
32, 48, N, 39, 23, W
36, 18, N, 37, 23, W
36, 18, N, 38, 23, W
36, 18, N, 39, 23, W
32, 43, N, 76, 33, W
32, 43, N, 77, 33, W
32, 43, N, 78, 33, W
32, 43, N, 79, 33, W
36, 13, N, 76, 33, W
36, 13, N, 77, 33, W
36, 13, N, 78, 33, W
36, 13, N, 79, 33, W
32, 46, N, 76, 53, W
32, 46, N, 77, 53, W
32, 46, N, 78, 53, W
32, 46, N, 79, 53, W
36, 16, N, 76, 53, W
36, 16, N, 77, 53, W
36, 16, N, 78, 53, W
36, 16, N, 79, 53, W
32, 41, N, 17, 14, W
32, 41, N, 18, 14, W
32, 41, N, 19, 14, W
36, 11, N, 17, 14, W
36, 11, N, 18, 14, W
36, 11, N, 19, 14, W
32, 43, N, 17, 14, W
32, 43, N, 18, 14, W
32, 43, N, 19, 14, W
36, 13, N, 17, 14, W
36, 13, N, 18, 14, W
36, 13, N, 19, 14, W
32, 41, N, 96, 24, W
32, 41, N, 97, 24, W
32, 41, N, 98, 24, W
32, 41, N, 99, 24, W
36, 11, N, 96, 24, W
36, 11, N, 97, 24, W
36, 11, N, 98, 24, W
36, 11, N, 99, 24, W
32, 44, N, 37, 44, W
32, 44, N, 38, 44, W
32, 44, N, 39, 44, W
36, 14, N, 37, 44, W
36, 14, N, 38, 44, W
36, 14, N, 39, 44, W
36, 12, N, 37, 54, W
36, 12, N, 38, 54, W
36, 12, N, 39, 54, W
